Time,Temp,SoC,DoD,C,V,R0
136908642.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136911808.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136912898.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137095278.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137100605.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137145807.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137160751.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137252529.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137268063.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137272207.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137319811.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137320333.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137339326.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137346189.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137677218.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137700241.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137707033.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137753834.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137787412.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137791761.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137840067.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137940323.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
137966262.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
138010115.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
138101701.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
